id,dienbienca,nhanvien
c871a4d3,e37a6f06,1b836613
cd9242e5,e37a6f06,21827101
db4fcc89,7a20376a,4613f12e
82aa379f,7a20376a,1b836613
7496ea7d,a82d222d,a6e2979c
ae12f6ea,61d24823,a6e2979c
3f3f4639,0da0024e,a782b548
b8f80b31,bd0ed6dc,2
64075b22,cc394e71,bc812b63
e929672b,cb5160bd,2
5880de96,cb5160bd,1e6859b8
cee4e099,b2040c70,6a9674f0
8acf6edd,b2040c70,2
"5,33E+87",b2040c70,9b76ebee
f229a4b8,0f95c833,1ad11fc8
37eb54d4,0f95c833,582a3bed
ffe6f11e,0f95c833,1e6859b8
09eb43f5,0f95c833,00dd5294
c916543a,73bc4112,a6e2979c
ef077d37,0f95c833,d8a65191
56c4d221,0f95c833,40e103fe
e5ef11b0,44ba0878,040b166c
79b6148f,69d445a3,2414884e
aa435073,5ddbe7f6,a782b548
be524803,5ddbe7f6,8cd029d1
d2423842,f872dd16,d2da50ee
77fc81ea,cae8a054,a782b548
946005a5,cae8a054,2
c7b78d71,f872dd16,1ecd3cd8
a06fb158,24d35c6f,2
f3b90eec,24d35c6f,1e6859b8
96ee2d65,e93d6a43,4613f12e
1995fd04,e93d6a43,1b836613
11afc12d,73a743be,09659890
c882f309,73a743be,1e6859b8
00d45770,e93d6a43,1b836613
abb4c22c,e93d6a43,1b836613
fa2b6180,73a743be,09659890
7aeec659,aebafa29,a6e2979c
ca002d01,1e4dda4c,a782b548
9c14a5a0,c870b592,1
65ae47ac,7fab3593,2414884e
9b17c9f3,e867168e,a782b548
eb198b95,c511daaa,1
56c2df3a,a7a235c5,6eb760de
d2c184bd,fa17bf4a,6eb760de
eaa1fe0c,1f17a72c,21827101
8378ac8e,1f17a72c,09659890
e9aef618,1c707a3a,a782b548
c5ed8cb3,1c707a3a,09659890
4d499bc4,0937533b,df669479
c4ff3e53,0937533b,1
5d787115,0937533b,750f3aa9
02018c73,d8ddca91,1e6859b8
1bb7f81c,d8ddca91,2
88a86305,d8ddca91,2414884e
66e08bf0,d8ddca91,a782b548
ffbe96e3,102d4587,2
